DBpedia16_URI	label
http://dbpedia.org/resource/Crespano_del_Grappa	Crespano del Grappa
http://dbpedia.org/resource/Humansville,_Missouri	Humansville, Missouri
http://dbpedia.org/resource/Ida_Grove,_Iowa	Ida Grove, Iowa
http://dbpedia.org/resource/Buchanan,_Michigan	Buchanan, Michigan
http://dbpedia.org/resource/Villa_Corona	Villa Corona
http://dbpedia.org/resource/Pawayan	Pawayan
http://dbpedia.org/resource/Buckner,_Missouri	Buckner, Missouri
http://dbpedia.org/resource/Songadh	Songadh
http://dbpedia.org/resource/Atka,_Alaska	Atka, Alaska
http://dbpedia.org/resource/Jasper,_Arkansas	Jasper, Arkansas
http://dbpedia.org/resource/Iola,_Texas	Iola, Texas
http://dbpedia.org/resource/Malyn	Malyn
http://dbpedia.org/resource/Zongo	Zongo
http://dbpedia.org/resource/Gerd_Kashaneh	Gerd Kashaneh
http://dbpedia.org/resource/Kolvanaq	Kolvanaq
http://dbpedia.org/resource/Fukuyama,_Hiroshima	Fukuyama, Hiroshima
http://dbpedia.org/resource/Zavareh	Zavareh
http://dbpedia.org/resource/Atmore,_Alabama	Atmore, Alabama
http://dbpedia.org/resource/Gothenburg	Gothenburg
http://dbpedia.org/resource/Akron,_Ohio	Akron, Ohio
http://dbpedia.org/resource/Crystal_Falls,_Michigan	Crystal Falls, Michigan
http://dbpedia.org/resource/Carytown,_Missouri	Carytown, Missouri
http://dbpedia.org/resource/Gondia	Gondia
http://dbpedia.org/resource/Covington,_Louisiana	Covington, Louisiana
http://dbpedia.org/resource/Fruitland,_Maryland	Fruitland, Maryland
http://dbpedia.org/resource/OCL_Industrial_Township	OCL Industrial Township
http://dbpedia.org/resource/Lester,_Iowa	Lester, Iowa
http://dbpedia.org/resource/Kodala	Kodala
http://dbpedia.org/resource/College_City,_Arkansas	College City, Arkansas
http://dbpedia.org/resource/Lota,_Chile	Lota, Chile
http://dbpedia.org/resource/Latimer,_Iowa	Latimer, Iowa
http://dbpedia.org/resource/Belleville,_Illinois	Belleville, Illinois
http://dbpedia.org/resource/El_Dorado,_Arkansas	El Dorado, Arkansas
http://dbpedia.org/resource/Lawtey,_Florida	Lawtey, Florida
http://dbpedia.org/resource/Caliente,_Nevada	Caliente, Nevada
http://dbpedia.org/resource/Uvira	Uvira
http://dbpedia.org/resource/Phaphund	Phaphund
http://dbpedia.org/resource/Kumenan,_Okayama	Kumenan, Okayama
http://dbpedia.org/resource/Curti,_Goa	Curti, Goa
http://dbpedia.org/resource/Hominy,_Oklahoma	Hominy, Oklahoma
http://dbpedia.org/resource/Grady,_Arkansas	Grady, Arkansas
http://dbpedia.org/resource/Jinjiang,_Fujian	Jinjiang, Fujian
http://dbpedia.org/resource/Parola,_Maharashtra	Parola, Maharashtra
http://dbpedia.org/resource/Kinloch,_Missouri	Kinloch, Missouri
http://dbpedia.org/resource/Kaplan,_Louisiana	Kaplan, Louisiana
http://dbpedia.org/resource/Layyah	Layyah
http://dbpedia.org/resource/Cooter,_Missouri	Cooter, Missouri
http://dbpedia.org/resource/Ellendale,_North_Dakota	Ellendale, North Dakota
http://dbpedia.org/resource/Porto_Alegre_Public_Market	Porto Alegre Public Market
http://dbpedia.org/resource/Aswan	Aswan
http://dbpedia.org/resource/Rupnagar	Rupnagar
http://dbpedia.org/resource/Hoyt,_Kansas	Hoyt, Kansas
http://dbpedia.org/resource/Arcelia	Arcelia
http://dbpedia.org/resource/Guntakal	Guntakal
http://dbpedia.org/resource/Gwangmyeong	Gwangmyeong
http://dbpedia.org/resource/Chandler,_Oklahoma	Chandler, Oklahoma
http://dbpedia.org/resource/Dallas_Center,_Iowa	Dallas Center, Iowa
http://dbpedia.org/resource/Elbeyli	Elbeyli
http://dbpedia.org/resource/Mojen	Mojen
http://dbpedia.org/resource/Vazvan	Vazvan
http://dbpedia.org/resource/Ellston,_Iowa	Ellston, Iowa
http://dbpedia.org/resource/Luoding	Luoding
http://dbpedia.org/resource/Samtah	Samtah
http://dbpedia.org/resource/Bronaugh,_Missouri	Bronaugh, Missouri
http://dbpedia.org/resource/Tutkabon	Tutkabon
http://dbpedia.org/resource/Lovilia,_Iowa	Lovilia, Iowa
http://dbpedia.org/resource/Long_Beach,_Mississippi	Long Beach, Mississippi
http://dbpedia.org/resource/Badulla	Badulla
http://dbpedia.org/resource/Albion,_Idaho	Albion, Idaho
http://dbpedia.org/resource/Olivares,_Spain	Olivares, Spain
http://dbpedia.org/resource/Ivanava	Ivanava
