Wikidata_URI	DBpedia15_URI	DBpedia16_URI	label
http://www.wikidata.org/entity/Q7913484	http://dbpedia.org/resource/Van_Lear_Rose	http://dbpedia.org/resource/Van_Lear_Rose	Van Lear Rose
http://www.wikidata.org/entity/Q1036873	http://dbpedia.org/resource/Histoire_de_Melody_Nelson	http://dbpedia.org/resource/Histoire_de_Melody_Nelson	Histoire de Melody Nelson
http://www.wikidata.org/entity/Q378166	http://dbpedia.org/resource/Stankonia	http://dbpedia.org/resource/Stankonia	Stankonia
http://www.wikidata.org/entity/Q547624	http://dbpedia.org/resource/My_Beautiful_Dark_Twisted_Fantasy	http://dbpedia.org/resource/My_Beautiful_Dark_Twisted_Fantasy	My Beautiful Dark Twisted Fantasy
http://www.wikidata.org/entity/Q3474454	http://dbpedia.org/resource/Savane_(album)	http://dbpedia.org/resource/Savane_(album)	Savane
http://www.wikidata.org/entity/Q6652026	http://dbpedia.org/resource/Little_Sparrow	http://dbpedia.org/resource/Little_Sparrow	Dolly
http://www.wikidata.org/entity/Q1990678	http://dbpedia.org/resource/Live_at_Reading	http://dbpedia.org/resource/Live_at_Reading	Live At Reading
http://www.wikidata.org/entity/Q2333298	http://dbpedia.org/resource/Madvillainy	http://dbpedia.org/resource/Madvillainy	Madvillainy
http://www.wikidata.org/entity/Q7091383	http://dbpedia.org/resource/On_the_Impossible_Past	http://dbpedia.org/resource/On_the_Impossible_Past	On the Impossible Past
http://www.wikidata.org/entity/Q252406	http://dbpedia.org/resource/Boy_in_da_Corner	http://dbpedia.org/resource/Boy_in_da_Corner	Boy In Da Corner
http://www.wikidata.org/entity/Q580496	http://dbpedia.org/resource/Elephant_(album)	http://dbpedia.org/resource/Elephant_(album)	Elephant
http://www.wikidata.org/entity/Q1372596	http://dbpedia.org/resource/Labor_Days	http://dbpedia.org/resource/Labor_Days	Labor Days
http://www.wikidata.org/entity/Q2340626	http://dbpedia.org/resource/Lost_in_the_Sound_of_Separation	http://dbpedia.org/resource/Lost_in_the_Sound_of_Separation	Lost In The Sound Of Separation
http://www.wikidata.org/entity/Q1754753	http://dbpedia.org/resource/Orphans:_Brawlers,_Bawlers_&_Bastards	http://dbpedia.org/resource/Orphans:_Brawlers,_Bawlers_&_Bastards	Orphans: Brawlers, Bawlers & Bastards
http://www.wikidata.org/entity/Q3388283	http://dbpedia.org/resource/Pull_Up_Some_Dust_and_Sit_Down	http://dbpedia.org/resource/Pull_Up_Some_Dust_and_Sit_Down	Pull Up Some Dust and Sit Down
http://www.wikidata.org/entity/Q438369	http://dbpedia.org/resource/A_Grand_Don't_Come_for_Free	http://dbpedia.org/resource/A_Grand_Don't_Come_for_Free	A Grand Don't Come For Free
http://www.wikidata.org/entity/Q603672	http://dbpedia.org/resource/Speakerboxxx/The_Love_Below	http://dbpedia.org/resource/Speakerboxxx/The_Love_Below	Speakerboxxx/The Love Below
http://www.wikidata.org/entity/Q1933237	http://dbpedia.org/resource/The_ArchAndroid	http://dbpedia.org/resource/The_ArchAndroid	The ArchAndroid
http://www.wikidata.org/entity/Q7738493	http://dbpedia.org/resource/The_Guitar_Song	http://dbpedia.org/resource/The_Guitar_Song	The Guitar Song
http://www.wikidata.org/entity/Q2118007	http://dbpedia.org/resource/Unto_the_Locust	http://dbpedia.org/resource/Unto_the_Locust	Unto the Locust
http://www.wikidata.org/entity/Q1133836	http://dbpedia.org/resource/From_Here_We_Go_Sublime	http://dbpedia.org/resource/From_Here_We_Go_Sublime	From Here We Go Sublime
http://www.wikidata.org/entity/Q526196	http://dbpedia.org/resource/Funeral_(album)	http://dbpedia.org/resource/Funeral_(album)	Funeral
http://www.wikidata.org/entity/Q1658831	http://dbpedia.org/resource/Illinois_(album)	http://dbpedia.org/resource/Illinois_(album)	Illinois
http://www.wikidata.org/entity/Q2709081	http://dbpedia.org/resource/Original_Pirate_Material	http://dbpedia.org/resource/Original_Pirate_Material	Original Pirate Material
http://www.wikidata.org/entity/Q1331589	http://dbpedia.org/resource/Sir_Lucious_Left_Foot:_The_Son_of_Chico_Dusty	http://dbpedia.org/resource/Sir_Lucious_Left_Foot:_The_Son_of_Chico_Dusty	Sir Lucious Left Foot: The Son of Chico Dusty
http://www.wikidata.org/entity/Q2445090	http://dbpedia.org/resource/Untrue	http://dbpedia.org/resource/Untrue	Untrue
http://www.wikidata.org/entity/Q17036687	http://dbpedia.org/resource/What_Were_You_Hoping_For?	http://dbpedia.org/resource/What_Were_You_Hoping_For%3F	What Were You Hoping For?
http://www.wikidata.org/entity/Q2006424	http://dbpedia.org/resource/XTRMNTR	http://dbpedia.org/resource/XTRMNTR	XTRMNTR
http://www.wikidata.org/entity/Q2878261	http://dbpedia.org/resource/Bachelor_No._2_or,_the_Last_Remains_of_the_Dodo	http://dbpedia.org/resource/Bachelor_No._2_or,_the_Last_Remains_of_the_Dodo	Bachelor No. 2 (or, the last remains of the dodo)
	http://dbpedia.org/resource/Hell_hath_no_fury	http://dbpedia.org/resource/Hell_Hath_No_Fury	Hell Hath No Fury
http://www.wikidata.org/entity/Q605647	http://dbpedia.org/resource/HoboSapiens	http://dbpedia.org/resource/HoboSapiens	HoboSapiens
http://www.wikidata.org/entity/Q16994619	http://dbpedia.org/resource/I_Was_Trying_to_Describe_You_to_Someone	http://dbpedia.org/resource/I_Was_Trying_to_Describe_You_to_Someone	I Was Trying To Describe You To Someone
http://www.wikidata.org/entity/Q1206906	http://dbpedia.org/resource/Merriweather_Post_Pavilion_(album)	http://dbpedia.org/resource/Merriweather_Post_Pavilion_(album)	Merriweather Post Pavilion
http://www.wikidata.org/entity/Q2351202	http://dbpedia.org/resource/Miss_E..._So_Addictive	http://dbpedia.org/resource/Miss_E..._So_Addictive	Miss E... So Addictive
http://www.wikidata.org/entity/Q1977566	http://dbpedia.org/resource/Neon_Golden	http://dbpedia.org/resource/Neon_Golden	Neon Golden
http://www.wikidata.org/entity/Q3443401	http://dbpedia.org/resource/Rounds_(album)	http://dbpedia.org/resource/Rounds_(album)	Rounds
http://www.wikidata.org/entity/Q763207	http://dbpedia.org/resource/Sale_el_Sol	http://dbpedia.org/resource/Sale_el_Sol	Sale el Sol
http://www.wikidata.org/entity/Q821531	http://dbpedia.org/resource/Since_I_Left_You	http://dbpedia.org/resource/Since_I_Left_You	Since I Left You
http://www.wikidata.org/entity/Q586984	http://dbpedia.org/resource/Songs_for_the_Deaf	http://dbpedia.org/resource/Songs_for_the_Deaf	Songs For The Deaf
http://www.wikidata.org/entity/Q7621430	http://dbpedia.org/resource/Strange_Mercy	http://dbpedia.org/resource/Strange_Mercy	St. Vincent
http://www.wikidata.org/entity/Q3521151	http://dbpedia.org/resource/The_Greatest_Story_Never_Told	http://dbpedia.org/resource/The_Greatest_Story_Never_Told	The Greatest Story Never Told
http://www.wikidata.org/entity/Q2004110	http://dbpedia.org/resource/The_Idler_Wheel...	http://dbpedia.org/resource/The_Idler_Wheel...	The Idler Wheel Is Wiser than the Driver of the Screw and Whipping Cords Will Serve You More than Ropes Will Ever Do
http://www.wikidata.org/entity/Q7977313	http://dbpedia.org/resource/We_Are_Monster	http://dbpedia.org/resource/We_Are_Monster	Wearemonster
	http://dbpedia.org/resource/Abattoir_Blues_/_The_Lyre_of_Orpheus	http://dbpedia.org/resource/Abattoir_Blues/The_Lyre_of_Orpheus	Abattoir Blues / The Lyre Of Orpheus
http://www.wikidata.org/entity/Q610043	http://dbpedia.org/resource/Arular	http://dbpedia.org/resource/Arular	Arular
http://www.wikidata.org/entity/Q197960	http://dbpedia.org/resource/Bad_as_Me	http://dbpedia.org/resource/Bad_as_Me	0 as Me
http://www.wikidata.org/entity/Q4874219	http://dbpedia.org/resource/Bay_of_Pigs_(EP)	http://dbpedia.org/resource/Bay_of_Pigs_(EP)	Bay Of Pigs [EP]
http://www.wikidata.org/entity/Q4921987	http://dbpedia.org/resource/Black_Tambourine_(album)	http://dbpedia.org/resource/Black_Tambourine_(album)	Black Tambourine
http://www.wikidata.org/entity/Q785415	http://dbpedia.org/resource/Blur:_The_Best_Of	http://dbpedia.org/resource/Blur:_The_Best_Of	The Best Of Blur
http://www.wikidata.org/entity/Q1090053	http://dbpedia.org/resource/Chutes_Too_Narrow	http://dbpedia.org/resource/Chutes_Too_Narrow	Chutes Too Narrow
http://www.wikidata.org/entity/Q5189484	http://dbpedia.org/resource/Crown_and_Treaty_(album)	http://dbpedia.org/resource/Crown_and_Treaty_(album)	Crown and Treaty
