DBpedia16_URI	label
http://dbpedia.org/resource/Baghdad	Baghdad
http://dbpedia.org/resource/Lisbon	Lisbon
http://dbpedia.org/resource/Switzerland	Switzerland
http://dbpedia.org/resource/Ecuador	Ecuador
http://dbpedia.org/resource/Belgium	Belgium
http://dbpedia.org/resource/Antananarivo	Antananarivo
http://dbpedia.org/resource/Tallinn	Tallinn
http://dbpedia.org/resource/Ukraine	Ukraine
http://dbpedia.org/resource/Damascus	Damascus
http://dbpedia.org/resource/Madrid	Madrid
http://dbpedia.org/resource/England	England
http://dbpedia.org/resource/Guinea	Guinea
http://dbpedia.org/resource/Valletta	Valletta
http://dbpedia.org/resource/Serbia	Serbia
http://dbpedia.org/resource/Belize	Belize
http://dbpedia.org/resource/Tokyo	Tokyo
http://dbpedia.org/resource/Kabul	Kabul
http://dbpedia.org/resource/Rome	Rome
http://dbpedia.org/resource/Rwanda	Rwanda
http://dbpedia.org/resource/Caracas	Caracas
http://dbpedia.org/resource/Iran	Iran
http://dbpedia.org/resource/Russia	Russia
http://dbpedia.org/resource/Niger	Niger
http://dbpedia.org/resource/Tashkent	Tashkent
http://dbpedia.org/resource/Algeria	Algeria
http://dbpedia.org/resource/Montenegro	Montenegro
http://dbpedia.org/resource/Manama	Manama
http://dbpedia.org/resource/Oslo	Oslo
http://dbpedia.org/resource/Greece	Greece
http://dbpedia.org/resource/Ashgabat	Ashgabat
http://dbpedia.org/resource/Senegal	Senegal
http://dbpedia.org/resource/Macedonia	Macedonia
http://dbpedia.org/resource/Lebanon	Lebanon
http://dbpedia.org/resource/Fiji	Fiji
http://dbpedia.org/resource/Lilongwe	Lilongwe
http://dbpedia.org/resource/The_Gambia	The Gambia
http://dbpedia.org/resource/Windhoek	Windhoek
http://dbpedia.org/resource/Bhutan	Bhutan
http://dbpedia.org/resource/Asmara	Asmara
http://dbpedia.org/resource/Finland	Finland
http://dbpedia.org/resource/Morocco	Morocco
http://dbpedia.org/resource/Venezuela	Venezuela
http://dbpedia.org/resource/Turkmenistan	Turkmenistan
http://dbpedia.org/resource/Helsinki	Helsinki
http://dbpedia.org/resource/Bishkek	Bishkek
http://dbpedia.org/resource/Maputo	Maputo
http://dbpedia.org/resource/Vienna	Vienna
http://dbpedia.org/resource/Romania	Romania
http://dbpedia.org/resource/Khartoum	Khartoum
http://dbpedia.org/resource/Kazakhstan	Kazakhstan
http://dbpedia.org/resource/Ireland	Ireland
http://dbpedia.org/resource/Turkey	Turkey
http://dbpedia.org/resource/Samoa	Samoa
http://dbpedia.org/resource/Australia	Australia
http://dbpedia.org/resource/Bangladesh	Bangladesh
http://dbpedia.org/resource/Honduras	Honduras
http://dbpedia.org/resource/Lima	Lima
http://dbpedia.org/resource/Chisinau	Chisinau
http://dbpedia.org/resource/Bujumbura	Bujumbura
http://dbpedia.org/resource/Kigali	Kigali
http://dbpedia.org/resource/Namibia	Namibia
http://dbpedia.org/resource/Managua	Managua
http://dbpedia.org/resource/Angola	Angola
http://dbpedia.org/resource/Burundi	Burundi
http://dbpedia.org/resource/Sudan	Sudan
http://dbpedia.org/resource/Malawi	Malawi
http://dbpedia.org/resource/Uruguay	Uruguay
http://dbpedia.org/resource/Greenland	Greenland
http://dbpedia.org/resource/Roseau	Roseau
http://dbpedia.org/resource/Monrovia	Monrovia
http://dbpedia.org/resource/Tbilisi	Tbilisi
http://dbpedia.org/resource/Vietnam	Vietnam
http://dbpedia.org/resource/Azerbaijan	Azerbaijan
http://dbpedia.org/resource/China	China
http://dbpedia.org/resource/Budapest	Budapest
http://dbpedia.org/resource/Estonia	Estonia
http://dbpedia.org/resource/Bahrain	Bahrain
http://dbpedia.org/resource/Manila	Manila
http://dbpedia.org/resource/Pakistan	Pakistan
http://dbpedia.org/resource/Peru	Peru
http://dbpedia.org/resource/Japan	Japan
http://dbpedia.org/resource/Malta	Malta
http://dbpedia.org/resource/Portugal	Portugal
http://dbpedia.org/resource/Austria	Austria
http://dbpedia.org/resource/Amman	Amman
http://dbpedia.org/resource/Ljubljana	Ljubljana
http://dbpedia.org/resource/Liberia	Liberia
http://dbpedia.org/resource/Kiev	Kiev
http://dbpedia.org/resource/Skopje	Skopje
http://dbpedia.org/resource/Sofia	Sofia
http://dbpedia.org/resource/Zagreb	Zagreb
http://dbpedia.org/resource/Dominica	Dominica
http://dbpedia.org/resource/Bern	Bern
http://dbpedia.org/resource/Suva	Suva
http://dbpedia.org/resource/Sweden	Sweden
http://dbpedia.org/resource/Belgrade	Belgrade
http://dbpedia.org/resource/Harare	Harare
http://dbpedia.org/resource/Santiago	Santiago
http://dbpedia.org/resource/Tuvalu	Tuvalu
http://dbpedia.org/resource/Taiwan	Taiwan
http://dbpedia.org/resource/Georgia	Georgia
http://dbpedia.org/resource/Kingston	Kingston
http://dbpedia.org/resource/Indonesia	Indonesia
http://dbpedia.org/resource/Slovenia	Slovenia
http://dbpedia.org/resource/Paramaribo	Paramaribo
http://dbpedia.org/resource/Thailand	Thailand
http://dbpedia.org/resource/Abuja	Abuja
http://dbpedia.org/resource/The_Bahamas	The Bahamas
http://dbpedia.org/resource/Libya	Libya
http://dbpedia.org/resource/Zambia	Zambia
http://dbpedia.org/resource/Niamey	Niamey
http://dbpedia.org/resource/Afghanistan	Afghanistan
http://dbpedia.org/resource/Mogadishu	Mogadishu
http://dbpedia.org/resource/Guyana	Guyana
http://dbpedia.org/resource/Kampala	Kampala
http://dbpedia.org/resource/Egypt	Egypt
http://dbpedia.org/resource/Copenhagen	Copenhagen
http://dbpedia.org/resource/Bucharest	Bucharest
http://dbpedia.org/resource/Banjul	Banjul
http://dbpedia.org/resource/Thimphu	Thimphu
http://dbpedia.org/resource/Jordan	Jordan
http://dbpedia.org/resource/Laos	Laos
http://dbpedia.org/resource/Poland	Poland
http://dbpedia.org/resource/Cuba	Cuba
http://dbpedia.org/resource/Podgorica	Podgorica
http://dbpedia.org/resource/Nassau	Nassau
http://dbpedia.org/resource/Tehran	Tehran
http://dbpedia.org/resource/Warsaw	Warsaw
http://dbpedia.org/resource/Apia	Apia
http://dbpedia.org/resource/Mozambique	Mozambique
http://dbpedia.org/resource/Nouakchott	Nouakchott
http://dbpedia.org/resource/Belmopan	Belmopan
http://dbpedia.org/resource/Chile	Chile
http://dbpedia.org/resource/Dushanbe	Dushanbe
http://dbpedia.org/resource/Rabat	Rabat
http://dbpedia.org/resource/Germany	Germany
http://dbpedia.org/resource/Suriname	Suriname
http://dbpedia.org/resource/Tripoli	Tripoli
http://dbpedia.org/resource/Zimbabwe	Zimbabwe
http://dbpedia.org/resource/Albania	Albania
http://dbpedia.org/resource/Kenya	Kenya
http://dbpedia.org/resource/London	London
http://dbpedia.org/resource/Tunisia	Tunisia
http://dbpedia.org/resource/Iraq	Iraq
http://dbpedia.org/resource/Philippines	Philippines
http://dbpedia.org/resource/Armenia	Armenia
http://dbpedia.org/resource/Mauritania	Mauritania
http://dbpedia.org/resource/Paris	Paris
http://dbpedia.org/resource/Beirut	Beirut
http://dbpedia.org/resource/Eritrea	Eritrea
http://dbpedia.org/resource/France	France
http://dbpedia.org/resource/Nairobi	Nairobi
http://dbpedia.org/resource/Nuuk	Nuuk
http://dbpedia.org/resource/Conakry	Conakry
http://dbpedia.org/resource/Tegucigalpa	Tegucigalpa
http://dbpedia.org/resource/Yerevan	Yerevan
http://dbpedia.org/resource/Uzbekistan	Uzbekistan
http://dbpedia.org/resource/Havana	Havana
http://dbpedia.org/resource/Ottawa	Ottawa
http://dbpedia.org/resource/Belarus	Belarus
http://dbpedia.org/resource/Uganda	Uganda
http://dbpedia.org/resource/Doha	Doha
http://dbpedia.org/resource/Tunis	Tunis
http://dbpedia.org/resource/Islamabad	Islamabad
http://dbpedia.org/resource/Hungary	Hungary
http://dbpedia.org/resource/Botswana	Botswana
http://dbpedia.org/resource/Muscat,_Oman	Muscat, Oman
http://dbpedia.org/resource/Lusaka	Lusaka
http://dbpedia.org/resource/Beijing	Beijing
http://dbpedia.org/resource/Luanda	Luanda
http://dbpedia.org/resource/Montevideo	Montevideo
http://dbpedia.org/resource/Cyprus	Cyprus
http://dbpedia.org/resource/Vilnius	Vilnius
http://dbpedia.org/resource/Ankara	Ankara
http://dbpedia.org/resource/Tajikistan	Tajikistan
http://dbpedia.org/resource/Slovakia	Slovakia
http://dbpedia.org/resource/Funafuti	Funafuti
