DBpedia16_URI	label
http://dbpedia.org/resource/NeXT	NeXT
http://dbpedia.org/resource/Pie-O-My	Pie-O-My
http://dbpedia.org/resource/Steve_Wozniak	Steve Wozniak
http://dbpedia.org/resource/Billy_Bob_Thornton	Billy Bob Thornton
http://dbpedia.org/resource/Mad_Love_(1935_film)	Mad Love (1935 film)
http://dbpedia.org/resource/Bruce_Lee	Bruce Lee
http://dbpedia.org/resource/Titanic_(1997_film)	Titanic (1997 film)
http://dbpedia.org/resource/Flea_(musician)	Flea (musician)
http://dbpedia.org/resource/David_Wain	David Wain
http://dbpedia.org/resource/Craigslist	Craigslist
http://dbpedia.org/resource/Lower_Manhattan	Lower Manhattan
http://dbpedia.org/resource/Steve_Jobs	Steve Jobs
http://dbpedia.org/resource/Mr._&_Mrs._Smith_(2005_film)	Mr. & Mrs. Smith (2005 film)
http://dbpedia.org/resource/Deus_Ex_(series)	Deus Ex (series)
http://dbpedia.org/resource/Academy_Awards	Academy Awards
http://dbpedia.org/resource/Christopher_Tyng	Christopher Tyng
http://dbpedia.org/resource/Bosnian_War	Bosnian War
http://dbpedia.org/resource/Helmut_Panke	Helmut Panke
http://dbpedia.org/resource/Barack_Obama	Barack Obama
http://dbpedia.org/resource/Armonk,_New_York	Armonk, New York
http://dbpedia.org/resource/Game_Developers_Choice_Awards	Game Developers Choice Awards
http://dbpedia.org/resource/Guinness_World_Records	Guinness World Records
http://dbpedia.org/resource/Max_Payne_(film)	Max Payne (film)
http://dbpedia.org/resource/Jenny_Shimizu	Jenny Shimizu
http://dbpedia.org/resource/Jon_Hamm	Jon Hamm
http://dbpedia.org/resource/World_Economic_Forum	World Economic Forum
http://dbpedia.org/resource/Skipper_Mullins	Skipper Mullins
http://dbpedia.org/resource/Forbes	Forbes
http://dbpedia.org/resource/Bill_Gates	Bill Gates
http://dbpedia.org/resource/Paul_Allen	Paul Allen
http://dbpedia.org/resource/Steve_Ballmer	Steve Ballmer
http://dbpedia.org/resource/The_Hollywood_Reporter	The Hollywood Reporter
http://dbpedia.org/resource/Cameron_Winklevoss	Cameron Winklevoss
http://dbpedia.org/resource/Peter_Thiel	Peter Thiel
http://dbpedia.org/resource/Newsweek	Newsweek
http://dbpedia.org/resource/Rational_Software	Rational Software
http://dbpedia.org/resource/Finland	Finland
http://dbpedia.org/resource/Jerry_Adler	Jerry Adler
http://dbpedia.org/resource/Michael_Imperioli	Michael Imperioli
