DBpedia16_URI	label
http://dbpedia.org/resource/Democratic_Party_(United_States)	Democratic Party (United States)
http://dbpedia.org/resource/Australian_Senate	Australian Senate
http://dbpedia.org/resource/Brian_Greig	Brian Greig
http://dbpedia.org/resource/Interim_leader	Interim leader
http://dbpedia.org/resource/Interim	Interim
http://dbpedia.org/resource/Aden_Ridgeway	Aden Ridgeway
http://dbpedia.org/resource/Aden	Aden
http://dbpedia.org/resource/Natasha_Stott_Despoja	Natasha Stott Despoja
http://dbpedia.org/resource/List_of_LGBT_rights_activists	List of LGBT rights activists
http://dbpedia.org/resource/LGBT_rights_by_country_or_territory	LGBT rights by country or territory
http://dbpedia.org/resource/Gay	Gay
http://dbpedia.org/resource/Activism	Activism
http://dbpedia.org/resource/Financial_services	Financial services
http://dbpedia.org/resource/Adenosine_monophosphate	Adenosine monophosphate
http://dbpedia.org/resource/Share_(finance)	Share (finance)
http://dbpedia.org/resource/Investor	Investor
http://dbpedia.org/resource/Batchelor,_Northern_Territory	Batchelor, Northern Territory
http://dbpedia.org/resource/Stock_market	Stock market
http://dbpedia.org/resource/Stock	Stock
http://dbpedia.org/resource/Australia	Australia
http://dbpedia.org/resource/Asset_management	Asset management
http://dbpedia.org/resource/Earnings_growth	Earnings growth
http://dbpedia.org/resource/Earnings	Earnings
http://dbpedia.org/resource/United_States	United States
http://dbpedia.org/resource/Federal_government_of_the_United_States	Federal government of the United States
http://dbpedia.org/resource/Government	Government
http://dbpedia.org/resource/Robert_Mugabe	Robert Mugabe
http://dbpedia.org/resource/President_of_the_United_States	President of the United States
http://dbpedia.org/resource/Zimbabwe	Zimbabwe
http://dbpedia.org/resource/Zimbabwe_Republic_Police	Zimbabwe Republic Police
http://dbpedia.org/resource/Police	Police
http://dbpedia.org/resource/Presidency_of_George_W._Bush	Presidency of George W. Bush
http://dbpedia.org/resource/George_W._Bush	George W. Bush
http://dbpedia.org/resource/Famine	Famine
http://dbpedia.org/resource/Islamism	Islamism
http://dbpedia.org/resource/Tehran	Tehran
http://dbpedia.org/resource/Baghdad	Baghdad
http://dbpedia.org/resource/Al-Qaeda	Al-Qaeda
http://dbpedia.org/resource/Terrorism	Terrorism
http://dbpedia.org/resource/Terrorist_training_camp	Terrorist training camp
http://dbpedia.org/resource/Iraqi_Kurdistan	Iraqi Kurdistan
http://dbpedia.org/resource/Iraq	Iraq
http://dbpedia.org/resource/Kurdish_people	Kurdish people
http://dbpedia.org/resource/Kurdish_language	Kurdish language
http://dbpedia.org/resource/Kurdistan_Uyezd	Kurdistan Uyezd
http://dbpedia.org/resource/Kurdistan	Kurdistan
http://dbpedia.org/resource/Kurdistan_Regional_Government	Kurdistan Regional Government
http://dbpedia.org/resource/The_Guardian	The Guardian
http://dbpedia.org/resource/Ansar_al-Islam	Ansar al-Islam
http://dbpedia.org/resource/Islam	Islam
http://dbpedia.org/resource/Iran	Iran
http://dbpedia.org/resource/Afghanistan	Afghanistan
http://dbpedia.org/resource/Patriotic_Union_of_Kurdistan	Patriotic Union of Kurdistan
http://dbpedia.org/resource/Jordan	Jordan
http://dbpedia.org/resource/Syria	Syria
http://dbpedia.org/resource/Egypt	Egypt
http://dbpedia.org/resource/Washington_(state)	Washington (state)
http://dbpedia.org/resource/Russia	Russia
http://dbpedia.org/resource/Georgia_(country)	Georgia (country)
http://dbpedia.org/resource/Moscow	Moscow
http://dbpedia.org/resource/Tbilisi	Tbilisi
http://dbpedia.org/resource/Georgia_(U.S._state)	Georgia (U.S. state)
http://dbpedia.org/resource/White_House_Press_Secretary	White House Press Secretary
http://dbpedia.org/resource/White_House	White House
http://dbpedia.org/resource/Race_and_ethnicity_in_the_United_States_Census	Race and ethnicity in the United States Census
http://dbpedia.org/resource/Ari_Fleischer	Ari Fleischer
http://dbpedia.org/resource/United_States_Secretary_of_State	United States Secretary of State
http://dbpedia.org/resource/Colin_Powell	Colin Powell
http://dbpedia.org/resource/Russian_language	Russian language
http://dbpedia.org/resource/Homosexuality	Homosexuality
http://dbpedia.org/resource/Student	Student
http://dbpedia.org/resource/Melbourne	Melbourne
http://dbpedia.org/resource/Christian_school	Christian school
http://dbpedia.org/resource/Christian	Christian
http://dbpedia.org/resource/School	School
http://dbpedia.org/resource/Equal_opportunity	Equal opportunity
http://dbpedia.org/resource/Discrimination	Discrimination
http://dbpedia.org/resource/Human_sexuality	Human sexuality
http://dbpedia.org/resource/Hillcrest_Christian_College	Hillcrest Christian College
http://dbpedia.org/resource/Berwick,_Victoria	Berwick, Victoria
http://dbpedia.org/resource/Devil	Devil
http://dbpedia.org/resource/Bullying	Bullying
http://dbpedia.org/resource/Head_teacher	Head teacher
http://dbpedia.org/resource/Distance_education	Distance education
http://dbpedia.org/resource/Education	Education
http://dbpedia.org/resource/Homophobia	Homophobia
http://dbpedia.org/resource/House_of_Saud	House of Saud
http://dbpedia.org/resource/Saudi_Arabia	Saudi Arabia
http://dbpedia.org/resource/Osama_bin_Laden	Osama bin Laden
http://dbpedia.org/resource/Taliban	Taliban
http://dbpedia.org/resource/Arabian_Peninsula	Arabian Peninsula
http://dbpedia.org/resource/Lawsuit	Lawsuit
http://dbpedia.org/resource/Afghan_training_camp	Afghan training camp
http://dbpedia.org/resource/September_11_attacks	September 11 attacks
http://dbpedia.org/resource/Aircraft_hijacking	Aircraft hijacking
http://dbpedia.org/resource/Hijackers_in_the_September_11_attacks	Hijackers in the September 11 attacks
http://dbpedia.org/resource/Palestinian_people	Palestinian people
http://dbpedia.org/resource/Abu_Nidal	Abu Nidal
http://dbpedia.org/resource/President_of_Iraq	President of Iraq
http://dbpedia.org/resource/Iraqi_people	Iraqi people
http://dbpedia.org/resource/Saddam_Hussein	Saddam Hussein
http://dbpedia.org/resource/Hussein_of_Jordan	Hussein of Jordan
http://dbpedia.org/resource/Iraqi_Intelligence_Service	Iraqi Intelligence Service
http://dbpedia.org/resource/Tahir_Jalil_Habbush_al-Tikriti	Tahir Jalil Habbush al-Tikriti
http://dbpedia.org/resource/Habbush_letter	Habbush letter
http://dbpedia.org/resource/Interrogation	Interrogation
http://dbpedia.org/resource/Hunan	Hunan
http://dbpedia.org/resource/Thunderstorm	Thunderstorm
http://dbpedia.org/resource/Flood	Flood
http://dbpedia.org/resource/Dongting_Lake	Dongting Lake
http://dbpedia.org/resource/Water	Water
http://dbpedia.org/resource/Lake	Lake
http://dbpedia.org/resource/United_Kingdom	United Kingdom
http://dbpedia.org/resource/Strategic_bombing	Strategic bombing
http://dbpedia.org/resource/Iraqi_Armed_Forces	Iraqi Armed Forces
http://dbpedia.org/resource/Military	Military
http://dbpedia.org/resource/Military_aircraft	Military aircraft
http://dbpedia.org/resource/Basra_Province	Basra Province
http://dbpedia.org/resource/Basra	Basra
http://dbpedia.org/resource/United_States_Central_Command	United States Central Command
http://dbpedia.org/resource/Florida	Florida
http://dbpedia.org/resource/Aircraft	Aircraft
