Wikidata_URI	DBpedia15_URI	DBpedia16_URI	label
http://www.wikidata.org/entity/Q1565621	http://dbpedia.org/resource/Alaska_Pacific_University	http://dbpedia.org/resource/Alaska_Pacific_University	Alaska Pacific University
http://www.wikidata.org/entity/Q1285262	http://dbpedia.org/resource/University_of_Alaska_Fairbanks	http://dbpedia.org/resource/University_of_Alaska_Fairbanks	University of Alaska-Fairbanks
http://www.wikidata.org/entity/Q94279	http://dbpedia.org/resource/University_of_Alaska_Southeast	http://dbpedia.org/resource/University_of_Alaska_Southeast	University of Alaska-Southeast
http://www.wikidata.org/entity/Q1285252	http://dbpedia.org/resource/University_of_Alaska_Anchorage	http://dbpedia.org/resource/University_of_Alaska_Anchorage	University of Alaska-Anchorage
http://www.wikidata.org/entity/Q1698206	http://dbpedia.org/resource/University_of_Montevallo	http://dbpedia.org/resource/University_of_Montevallo	University of Montevallo
http://www.wikidata.org/entity/Q4813523	http://dbpedia.org/resource/Athens_State_University	http://dbpedia.org/resource/Athens_State_University	Athens State College
http://www.wikidata.org/entity/Q540672	http://dbpedia.org/resource/Auburn_University	http://dbpedia.org/resource/Auburn_University	Auburn University
http://www.wikidata.org/entity/Q4916871	http://dbpedia.org/resource/Birmingham-Southern_College	http://dbpedia.org/resource/Birmingham%E2%80%93Southern_College	Birmingham Southern College
http://www.wikidata.org/entity/Q1273836	http://dbpedia.org/resource/University_of_North_Alabama	http://dbpedia.org/resource/University_of_North_Alabama	University of North Alabama
http://www.wikidata.org/entity/Q11000032	http://dbpedia.org/resource/Huntingdon_College	http://dbpedia.org/resource/Huntingdon_College	Huntingdon College
http://www.wikidata.org/entity/Q637346	http://dbpedia.org/resource/University_of_West_Alabama	http://dbpedia.org/resource/University_of_West_Alabama	Livingston University
http://www.wikidata.org/entity/Q7895847	http://dbpedia.org/resource/University_of_Mobile	http://dbpedia.org/resource/University_of_Mobile	University of Mobile
http://www.wikidata.org/entity/Q1056848	http://dbpedia.org/resource/Oakwood_University	http://dbpedia.org/resource/Oakwood_University	Oakwood College
http://www.wikidata.org/entity/Q6381586	http://dbpedia.org/resource/Samford_University	http://dbpedia.org/resource/Samford_University	Samford University
http://www.wikidata.org/entity/Q5591503	http://dbpedia.org/resource/Spring_Hill_College	http://dbpedia.org/resource/Spring_Hill_College	Spring Hill College
http://www.wikidata.org/entity/Q7617251	http://dbpedia.org/resource/Stillman_College	http://dbpedia.org/resource/Stillman_College	Stillman College
http://www.wikidata.org/entity/Q1817686	http://dbpedia.org/resource/Troy_University	http://dbpedia.org/resource/Troy_University	Troy State University
http://www.wikidata.org/entity/Q1682329	http://dbpedia.org/resource/Tuskegee_University	http://dbpedia.org/resource/Tuskegee_University	Tuskegee University
http://www.wikidata.org/entity/Q492318	http://dbpedia.org/resource/University_of_Alabama	http://dbpedia.org/resource/University_of_Alabama	University of Alabama
http://www.wikidata.org/entity/Q1472663	http://dbpedia.org/resource/University_of_Alabama_at_Birmingham	http://dbpedia.org/resource/University_of_Alabama_at_Birmingham	University of Alabama at Birmingham
