DBpedia16_URI	label
http://dbpedia.org/resource/Switzerland	Switzerland
http://dbpedia.org/resource/Oslo	Oslo
http://dbpedia.org/resource/Canada	Canada
http://dbpedia.org/resource/Russia	Russia
http://dbpedia.org/resource/China	China
http://dbpedia.org/resource/Thailand	Thailand
http://dbpedia.org/resource/Spain	Spain
http://dbpedia.org/resource/Canberra	Canberra
http://dbpedia.org/resource/Vietnam	Vietnam
http://dbpedia.org/resource/Pakistan	Pakistan
http://dbpedia.org/resource/England	England
http://dbpedia.org/resource/London	London
http://dbpedia.org/resource/Norway	Norway
http://dbpedia.org/resource/Cairo	Cairo
http://dbpedia.org/resource/Havana	Havana
http://dbpedia.org/resource/Tokyo	Tokyo
http://dbpedia.org/resource/Hanoi	Hanoi
http://dbpedia.org/resource/Iraq	Iraq
http://dbpedia.org/resource/Finland	Finland
http://dbpedia.org/resource/Ottawa	Ottawa
http://dbpedia.org/resource/Madrid	Madrid
http://dbpedia.org/resource/Rome	Rome
http://dbpedia.org/resource/Egypt	Egypt
http://dbpedia.org/resource/Helsinki	Helsinki
http://dbpedia.org/resource/Bern	Bern
http://dbpedia.org/resource/Cuba	Cuba
http://dbpedia.org/resource/Stockholm	Stockholm
http://dbpedia.org/resource/Athens	Athens
http://dbpedia.org/resource/Paris	Paris
http://dbpedia.org/resource/Australia	Australia
http://dbpedia.org/resource/Iran	Iran
http://dbpedia.org/resource/Islamabad	Islamabad
http://dbpedia.org/resource/Kabul	Kabul
http://dbpedia.org/resource/Berlin	Berlin
http://dbpedia.org/resource/Baghdad	Baghdad
http://dbpedia.org/resource/Moscow	Moscow
http://dbpedia.org/resource/Greece	Greece
http://dbpedia.org/resource/Japan	Japan
http://dbpedia.org/resource/Italy	Italy
http://dbpedia.org/resource/Germany	Germany
http://dbpedia.org/resource/Afghanistan	Afghanistan
http://dbpedia.org/resource/Sweden	Sweden
http://dbpedia.org/resource/Beijing	Beijing
http://dbpedia.org/resource/France	France
http://dbpedia.org/resource/Tehran	Tehran
http://dbpedia.org/resource/Bangkok	Bangkok
