Wikidata_URI	DBpedia15_URI	DBpedia16_URI	label
http://www.wikidata.org/entity/Q24639	http://dbpedia.org/resource/Vancouver	http://dbpedia.org/resource/Vancouver	Vancouver
http://www.wikidata.org/entity/Q72	http://dbpedia.org/resource/Zürich	http://dbpedia.org/resource/Zurich	Zurich
http://www.wikidata.org/entity/Q1741	http://dbpedia.org/resource/Vienna	http://dbpedia.org/resource/Vienna	Vienna
http://www.wikidata.org/entity/Q70	http://dbpedia.org/resource/Bern	http://dbpedia.org/resource/Bern	Bern
http://www.wikidata.org/entity/Q3130	http://dbpedia.org/resource/Sydney	http://dbpedia.org/resource/Sydney	Sydney
http://www.wikidata.org/entity/Q71	http://dbpedia.org/resource/Geneva	http://dbpedia.org/resource/Geneva	Geneva
http://www.wikidata.org/entity/Q37100	http://dbpedia.org/resource/Auckland	http://dbpedia.org/resource/Auckland	Auckland
http://www.wikidata.org/entity/Q1748	http://dbpedia.org/resource/Copenhagen	http://dbpedia.org/resource/Copenhagen	Copenhagen
http://www.wikidata.org/entity/Q1757	http://dbpedia.org/resource/Helsinki	http://dbpedia.org/resource/Helsinki	Helsinki
http://www.wikidata.org/entity/Q727	http://dbpedia.org/resource/Amsterdam	http://dbpedia.org/resource/Amsterdam	Amsterdam
http://www.wikidata.org/entity/Q1794	http://dbpedia.org/resource/Frankfurt	http://dbpedia.org/resource/Frankfurt	Frankfurt
http://www.wikidata.org/entity/Q1726	http://dbpedia.org/resource/Munich	http://dbpedia.org/resource/Munich	Munich
http://www.wikidata.org/entity/Q3141	http://dbpedia.org/resource/Melbourne	http://dbpedia.org/resource/Melbourne	Melbourne
http://www.wikidata.org/entity/Q18094	http://dbpedia.org/resource/Honolulu	http://dbpedia.org/resource/Honolulu	Honolulu
http://www.wikidata.org/entity/Q1718	http://dbpedia.org/resource/Düsseldorf	http://dbpedia.org/resource/Dusseldorf	Dusseldorf
http://www.wikidata.org/entity/Q62	http://dbpedia.org/resource/San_Francisco	http://dbpedia.org/resource/San_Francisco	San Francisco
http://www.wikidata.org/entity/Q585	http://dbpedia.org/resource/Oslo	http://dbpedia.org/resource/Oslo	Oslo
http://www.wikidata.org/entity/Q3183	http://dbpedia.org/resource/Perth	http://dbpedia.org/resource/Perth	Perth
http://www.wikidata.org/entity/Q240	http://dbpedia.org/resource/Brussels	http://dbpedia.org/resource/Brussels	Brussels
http://www.wikidata.org/entity/Q172	http://dbpedia.org/resource/Toronto	http://dbpedia.org/resource/Toronto	Toronto
http://www.wikidata.org/entity/Q5112	http://dbpedia.org/resource/Adelaide	http://dbpedia.org/resource/Adelaide	Adelaide
http://www.wikidata.org/entity/Q32	http://dbpedia.org/resource/Luxembourg	http://dbpedia.org/resource/Luxembourg	Luxembourg
http://www.wikidata.org/entity/Q1754	http://dbpedia.org/resource/Stockholm	http://dbpedia.org/resource/Stockholm	Stockholm
http://www.wikidata.org/entity/Q90	http://dbpedia.org/resource/Paris	http://dbpedia.org/resource/Paris	Paris
http://www.wikidata.org/entity/Q2090	http://dbpedia.org/resource/Nuremberg	http://dbpedia.org/resource/Nurnberg	Nurnberg
http://www.wikidata.org/entity/Q34932	http://dbpedia.org/resource/Brisbane	http://dbpedia.org/resource/Brisbane	Brisbane
http://www.wikidata.org/entity/Q340	http://dbpedia.org/resource/Montreal	http://dbpedia.org/resource/Montreal	Montreal
http://www.wikidata.org/entity/Q1490	http://dbpedia.org/resource/Tokyo	http://dbpedia.org/resource/Tokyo	Tokyo
http://www.wikidata.org/entity/Q64	http://dbpedia.org/resource/Berlin	http://dbpedia.org/resource/Berlin	Berlin
http://www.wikidata.org/entity/Q1055	http://dbpedia.org/resource/Hamburg	http://dbpedia.org/resource/Hamburg	Hamburg
http://www.wikidata.org/entity/Q23661	http://dbpedia.org/resource/Wellington	http://dbpedia.org/resource/Wellington	Wellington
http://www.wikidata.org/entity/Q2910	http://dbpedia.org/resource/Ludwigshafen	http://dbpedia.org/resource/Ludwigshafen	Ludwigshafen
http://www.wikidata.org/entity/Q456	http://dbpedia.org/resource/Lyon	http://dbpedia.org/resource/Lyon	Lyon
http://www.wikidata.org/entity/Q23556	http://dbpedia.org/resource/Atlanta	http://dbpedia.org/resource/Atlanta	Atlanta
http://www.wikidata.org/entity/Q84	http://dbpedia.org/resource/London	http://dbpedia.org/resource/London	London
http://www.wikidata.org/entity/Q36312	http://dbpedia.org/resource/Calgary	http://dbpedia.org/resource/Calgary	Calgary
http://www.wikidata.org/entity/Q48320	http://dbpedia.org/resource/Kobe	http://dbpedia.org/resource/Kobe	Kobe
http://www.wikidata.org/entity/Q223886	http://dbpedia.org/resource/Lexington	http://dbpedia.org/resource/Lexington	Lexington
http://www.wikidata.org/entity/Q5083	http://dbpedia.org/resource/Seattle	http://dbpedia.org/resource/Seattle	Seattle
http://www.wikidata.org/entity/Q1761	http://dbpedia.org/resource/Dublin	http://dbpedia.org/resource/Dublin	Dublin
http://www.wikidata.org/entity/Q49227	http://dbpedia.org/resource/Winston-Salem,_North_Carolina	http://dbpedia.org/resource/Winston_Salem	Winston Salem
http://www.wikidata.org/entity/Q65	http://dbpedia.org/resource/Los_Angeles	http://dbpedia.org/resource/Los_Angeles	Los Angeles
http://www.wikidata.org/entity/Q38283	http://dbpedia.org/resource/Yokohama	http://dbpedia.org/resource/Yokohama	Yokohama
http://www.wikidata.org/entity/Q334	http://dbpedia.org/resource/Singapore	http://dbpedia.org/resource/Singapore	Singapore
http://www.wikidata.org/entity/Q61	http://dbpedia.org/resource/Washington,_D.C.	http://dbpedia.org/resource/Washington_Dc	Washington Dc
http://www.wikidata.org/entity/Q1342	http://dbpedia.org/resource/Pittsburgh	http://dbpedia.org/resource/Pittsburgh	Pittsburgh
http://www.wikidata.org/entity/Q1297	http://dbpedia.org/resource/Chicago	http://dbpedia.org/resource/Chicago	Chicago
http://www.wikidata.org/entity/Q100	http://dbpedia.org/resource/Boston	http://dbpedia.org/resource/Boston	Boston
http://www.wikidata.org/entity/Q2807	http://dbpedia.org/resource/Madrid	http://dbpedia.org/resource/Madrid	Madrid
http://www.wikidata.org/entity/Q1384	http://dbpedia.org/resource/New_York	http://dbpedia.org/resource/New_York	New York
http://www.wikidata.org/entity/Q36091	http://dbpedia.org/resource/Minneapolis	http://dbpedia.org/resource/Minneapolis	Minneapolis
http://www.wikidata.org/entity/Q182972	http://dbpedia.org/resource/Portland	http://dbpedia.org/resource/Portland	Portland
http://www.wikidata.org/entity/Q35765	http://dbpedia.org/resource/Osaka	http://dbpedia.org/resource/Osaka	Osaka
