DBpedia16_URI	label
http://dbpedia.org/resource/Alaska_Pacific_University	Alaska Pacific University
http://dbpedia.org/resource/University_of_Alaska_Fairbanks	University of Alaska Fairbanks
http://dbpedia.org/resource/University_of_Alaska_Southeast	University of Alaska Southeast
http://dbpedia.org/resource/University_of_Alaska_Anchorage	University of Alaska Anchorage
http://dbpedia.org/resource/University_of_Montevallo	University of Montevallo
http://dbpedia.org/resource/Athens_State_University	Athens State University
http://dbpedia.org/resource/Auburn_University	Auburn University
http://dbpedia.org/resource/Birmingham-Southern_College	Birmingham-Southern College
http://dbpedia.org/resource/University_of_North_Alabama	University of North Alabama
http://dbpedia.org/resource/Huntingdon_College	Huntingdon College
http://dbpedia.org/resource/University_of_West_Alabama	University of West Alabama
http://dbpedia.org/resource/University_of_Mobile	University of Mobile
http://dbpedia.org/resource/Oakwood_University	Oakwood University
http://dbpedia.org/resource/Samford_University	Samford University
http://dbpedia.org/resource/Spring_Hill_College	Spring Hill College
http://dbpedia.org/resource/Stillman_College	Stillman College
http://dbpedia.org/resource/Troy_University	Troy University
http://dbpedia.org/resource/Tuskegee_University	Tuskegee University
http://dbpedia.org/resource/University_of_Alabama	University of Alabama
http://dbpedia.org/resource/University_of_Alabama_at_Birmingham	University of Alabama at Birmingham
http://dbpedia.org/resource/University_of_Alabama_in_Huntsville	University of Alabama in Huntsville
http://dbpedia.org/resource/University_of_South_Alabama	University of South Alabama
http://dbpedia.org/resource/Auburn_University_at_Montgomery	Auburn University at Montgomery
http://dbpedia.org/resource/University_of_Arkansas_at_Monticello	University of Arkansas at Monticello
http://dbpedia.org/resource/University_of_Arkansas_at_Pine_Bluff	University of Arkansas at Pine Bluff
http://dbpedia.org/resource/Lyon_College	Lyon College
http://dbpedia.org/resource/Arkansas_Tech_University	Arkansas Tech University
http://dbpedia.org/resource/Arkansas_State_University	Arkansas State University
http://dbpedia.org/resource/University_of_Central_Arkansas	University of Central Arkansas
http://dbpedia.org/resource/University_of_the_Ozarks	University of the Ozarks
http://dbpedia.org/resource/Henderson_State_University	Henderson State University
http://dbpedia.org/resource/Hendrix_College	Hendrix College
http://dbpedia.org/resource/John_Brown_University	John Brown University
http://dbpedia.org/resource/University_of_Arkansas_at_Little_Rock	University of Arkansas at Little Rock
http://dbpedia.org/resource/Ouachita_Baptist_University	Ouachita Baptist University
http://dbpedia.org/resource/Williams_Baptist_College	Williams Baptist College
http://dbpedia.org/resource/Southern_Arkansas_University	Southern Arkansas University
http://dbpedia.org/resource/University_of_Arkansas	University of Arkansas
http://dbpedia.org/resource/Harding_University_High_School	Harding University High School
http://dbpedia.org/resource/Grand_Canyon_University	Grand Canyon University
http://dbpedia.org/resource/Arizona_State_University	Arizona State University
http://dbpedia.org/resource/Northern_Arizona_University	Northern Arizona University
http://dbpedia.org/resource/University_of_Arizona	University of Arizona
http://dbpedia.org/resource/Azusa_Pacific_University	Azusa Pacific University
http://dbpedia.org/resource/Biola_University	Biola University
http://dbpedia.org/resource/California_Institute_of_Technology	California Institute of Technology
http://dbpedia.org/resource/California_State_University,_Fullerton	California State University, Fullerton
http://dbpedia.org/resource/California_State_University,_East_Bay	California State University, East Bay
http://dbpedia.org/resource/California_State_University,_Long_Beach	California State University, Long Beach
http://dbpedia.org/resource/California_State_University,_Dominguez_Hills	California State University, Dominguez Hills
http://dbpedia.org/resource/California_State_University,_Chico	California State University, Chico
http://dbpedia.org/resource/California_State_University,_Fresno	California State University, Fresno
http://dbpedia.org/resource/Humboldt_State_University	Humboldt State University
http://dbpedia.org/resource/San_Diego_State_University	San Diego State University
http://dbpedia.org/resource/San_Jose_State_University	San Jose State University
http://dbpedia.org/resource/Sonoma_State_University	Sonoma State University
http://dbpedia.org/resource/Chapman_University	Chapman University
http://dbpedia.org/resource/Claremont_McKenna_College	Claremont McKenna College
http://dbpedia.org/resource/Harvey_Mudd_College	Harvey Mudd College
http://dbpedia.org/resource/Pitzer_College	Pitzer College
http://dbpedia.org/resource/Pomona_College	Pomona College
http://dbpedia.org/resource/Scripps_College	Scripps College
http://dbpedia.org/resource/Notre_Dame_of_Maryland_University	Notre Dame of Maryland University
http://dbpedia.org/resource/Holy_Names_University	Holy Names University
http://dbpedia.org/resource/University_of_La_Verne	University of La Verne
http://dbpedia.org/resource/Mills_College	Mills College
http://dbpedia.org/resource/Occidental_College	Occidental College
http://dbpedia.org/resource/Pacific_Union_College	Pacific Union College
http://dbpedia.org/resource/Point_Loma_Nazarene_University	Point Loma Nazarene University
http://dbpedia.org/resource/Pepperdine_University	Pepperdine University
http://dbpedia.org/resource/Saint_Mary's_College_of_California	Saint Mary's College of California
http://dbpedia.org/resource/Stanford_University	Stanford University
http://dbpedia.org/resource/University_of_California,_Berkeley	University of California, Berkeley
http://dbpedia.org/resource/University_of_California,_Davis	University of California, Davis
http://dbpedia.org/resource/University_of_California,_Irvine	University of California, Irvine
http://dbpedia.org/resource/University_of_California,_Los_Angeles	University of California, Los Angeles
http://dbpedia.org/resource/University_of_California,_Riverside	University of California, Riverside
http://dbpedia.org/resource/University_of_California,_San_Diego	University of California, San Diego
http://dbpedia.org/resource/University_of_California,_San_Francisco	University of California, San Francisco
http://dbpedia.org/resource/University_of_California,_Santa_Barbara	University of California, Santa Barbara
http://dbpedia.org/resource/University_of_California,_Santa_Cruz	University of California, Santa Cruz
http://dbpedia.org/resource/University_of_Redlands	University of Redlands
http://dbpedia.org/resource/University_of_San_Francisco	University of San Francisco
http://dbpedia.org/resource/Santa_Clara_University	Santa Clara University
http://dbpedia.org/resource/University_of_Southern_California	University of Southern California
http://dbpedia.org/resource/University_of_the_Pacific_(Peru)	University of the Pacific (Peru)
http://dbpedia.org/resource/Westmont_College	Westmont College
http://dbpedia.org/resource/Whittier_College	Whittier College
http://dbpedia.org/resource/Woodbury_University	Woodbury University
http://dbpedia.org/resource/California_State_University,_Bakersfield	California State University, Bakersfield
http://dbpedia.org/resource/University_of_San_Diego	University of San Diego
http://dbpedia.org/resource/Loyola_Marymount_University	Loyola Marymount University
http://dbpedia.org/resource/Adams_State_University	Adams State University
http://dbpedia.org/resource/Colorado_College	Colorado College
http://dbpedia.org/resource/University_of_Northern_Colorado	University of Northern Colorado
http://dbpedia.org/resource/Colorado_State_University	Colorado State University
http://dbpedia.org/resource/Fort_Lewis_College	Fort Lewis College
http://dbpedia.org/resource/Colorado_Mesa_University	Colorado Mesa University
http://dbpedia.org/resource/Regis_University	Regis University
http://dbpedia.org/resource/University_of_Colorado_Boulder	University of Colorado Boulder
http://dbpedia.org/resource/University_of_Denver	University of Denver
http://dbpedia.org/resource/Western_State_Colorado_University	Western State Colorado University
http://dbpedia.org/resource/University_of_Colorado_Denver	University of Colorado Denver
http://dbpedia.org/resource/Albertus_Magnus_College	Albertus Magnus College
http://dbpedia.org/resource/Connecticut_College	Connecticut College
http://dbpedia.org/resource/Fairfield_University	Fairfield University
http://dbpedia.org/resource/University_of_New_Haven	University of New Haven
http://dbpedia.org/resource/Quinnipiac_University	Quinnipiac University
http://dbpedia.org/resource/Sacred_Heart_University	Sacred Heart University
http://dbpedia.org/resource/University_of_Saint_Joseph_(Connecticut)	University of Saint Joseph (Connecticut)
http://dbpedia.org/resource/Trinity_College_(Connecticut)	Trinity College (Connecticut)
http://dbpedia.org/resource/University_of_Bridgeport	University of Bridgeport
http://dbpedia.org/resource/University_of_Hartford	University of Hartford
http://dbpedia.org/resource/Wesleyan_University	Wesleyan University
http://dbpedia.org/resource/Yale_University	Yale University
http://dbpedia.org/resource/American_University	American University
http://dbpedia.org/resource/The_Catholic_University_of_America	The Catholic University of America
http://dbpedia.org/resource/Gallaudet_University	Gallaudet University
http://dbpedia.org/resource/George_Washington_University	George Washington University
http://dbpedia.org/resource/Georgetown_University	Georgetown University
http://dbpedia.org/resource/Howard_University	Howard University
http://dbpedia.org/resource/Delaware_State_University	Delaware State University
http://dbpedia.org/resource/Goldey-Beacom_College	Goldey-Beacom College
http://dbpedia.org/resource/University_of_Delaware	University of Delaware
http://dbpedia.org/resource/Wesley_College_(Victoria)	Wesley College (Victoria)
http://dbpedia.org/resource/Barry_University	Barry University
http://dbpedia.org/resource/St._Thomas_University_(Florida)	St. Thomas University (Florida)
http://dbpedia.org/resource/Florida_A&M_University	Florida A&M University
http://dbpedia.org/resource/Florida_Atlantic_University	Florida Atlantic University
http://dbpedia.org/resource/Eckerd_College	Eckerd College
http://dbpedia.org/resource/Florida_Southern_College	Florida Southern College
