DBpedia16_URI	label
http://dbpedia.org/resource/Canada	Canada
http://dbpedia.org/resource/Armenian_dram	Armenian dram
http://dbpedia.org/resource/Korean_won	Korean won
http://dbpedia.org/resource/Angolan_kwanza	Angolan kwanza
http://dbpedia.org/resource/Latvian_lats	Latvian lats
http://dbpedia.org/resource/Russia	Russia
http://dbpedia.org/resource/Dollar	Dollar
http://dbpedia.org/resource/Bulgarian_lev	Bulgarian lev
http://dbpedia.org/resource/Thailand	Thailand
http://dbpedia.org/resource/Malaysian_ringgit	Malaysian ringgit
http://dbpedia.org/resource/Hungarian_forint	Hungarian forint
http://dbpedia.org/resource/Armenia	Armenia
http://dbpedia.org/resource/Cambodia	Cambodia
http://dbpedia.org/resource/Poland	Poland
http://dbpedia.org/resource/Vietnam	Vietnam
http://dbpedia.org/resource/Croatian_kuna	Croatian kuna
http://dbpedia.org/resource/Algeria	Algeria
http://dbpedia.org/resource/Cambodian_riel	Cambodian riel
http://dbpedia.org/resource/Argentina	Argentina
http://dbpedia.org/resource/Angola	Angola
http://dbpedia.org/resource/Iranian_rial	Iranian rial
http://dbpedia.org/resource/Peso	Peso
http://dbpedia.org/resource/Rupee	Rupee
http://dbpedia.org/resource/Macedonian_denar	Macedonian denar
http://dbpedia.org/resource/Malaysia	Malaysia
http://dbpedia.org/resource/Ukrainian_hryvnia	Ukrainian hryvnia
http://dbpedia.org/resource/Croatia	Croatia
http://dbpedia.org/resource/Danish_krone	Danish krone
http://dbpedia.org/resource/Romanian_leu	Romanian leu
http://dbpedia.org/resource/Europe	Europe
http://dbpedia.org/resource/India	India
http://dbpedia.org/resource/Thai_baht	Thai baht
http://dbpedia.org/resource/Bulgaria	Bulgaria
http://dbpedia.org/resource/Swedish_krona	Swedish krona
http://dbpedia.org/resource/Ruble	Ruble
http://dbpedia.org/resource/Hungary	Hungary
http://dbpedia.org/resource/Lithuanian_litas	Lithuanian litas
http://dbpedia.org/resource/Nigerian_naira	Nigerian naira
http://dbpedia.org/resource/Ukraine	Ukraine
http://dbpedia.org/resource/Brazilian_real	Brazilian real
http://dbpedia.org/resource/Brazil	Brazil
http://dbpedia.org/resource/Iran	Iran
http://dbpedia.org/resource/Lithuania	Lithuania
http://dbpedia.org/resource/Japanese_yen	Japanese yen
http://dbpedia.org/resource/United_States	United States
http://dbpedia.org/resource/Romania	Romania
http://dbpedia.org/resource/Vietnamese_dong	Vietnamese dong
http://dbpedia.org/resource/Macedonia_(region)	Macedonia (region)
http://dbpedia.org/resource/Korea	Korea
http://dbpedia.org/resource/Euro	Euro
http://dbpedia.org/resource/Nigeria	Nigeria
http://dbpedia.org/resource/Dinar	Dinar
http://dbpedia.org/resource/Japan	Japan
http://dbpedia.org/resource/Latvia	Latvia
http://dbpedia.org/resource/Sweden	Sweden
http://dbpedia.org/resource/Mexico	Mexico
http://dbpedia.org/resource/Polish_złoty	Polish złoty
http://dbpedia.org/resource/Denmark	Denmark
