Wikidata_URI	DBpedia15_URI	DBpedia16_URI	label
http://www.wikidata.org/entity/Q26463	http://dbpedia.org/resource/Industrial_and_Commercial_Bank_of_China	http://dbpedia.org/resource/Industrial_and_Commercial_Bank_of_China	Industrial and Commercial Bank of China
http://www.wikidata.org/entity/Q26299	http://dbpedia.org/resource/China_Construction_Bank	http://dbpedia.org/resource/China_Construction_Bank	China Construction Bank
http://www.wikidata.org/entity/Q192314	http://dbpedia.org/resource/JPMorgan_Chase	http://dbpedia.org/resource/JPMorgan_Chase	JPMorgan Chase
http://www.wikidata.org/entity/Q54173	http://dbpedia.org/resource/General_Electric	http://dbpedia.org/resource/General_Electric	General Electric
	http://dbpedia.org/resource/ExxonMobil	http://dbpedia.org/resource/Exxon_Mobil	Exxon Mobil
	http://dbpedia.org/resource/HSBC	http://dbpedia.org/resource/HSBC_Holdings	HSBC Holdings
http://www.wikidata.org/entity/Q154950	http://dbpedia.org/resource/Royal_Dutch_Shell	http://dbpedia.org/resource/Royal_Dutch_Shell	Royal Dutch Shell
http://www.wikidata.org/entity/Q26298	http://dbpedia.org/resource/Agricultural_Bank_of_China	http://dbpedia.org/resource/Agricultural_Bank_of_China	Agricultural Bank of China
http://www.wikidata.org/entity/Q217583	http://dbpedia.org/resource/Berkshire_Hathaway	http://dbpedia.org/resource/Berkshire_Hathaway	Berkshire Hathaway
http://www.wikidata.org/entity/Q503182	http://dbpedia.org/resource/PetroChina	http://dbpedia.org/resource/PetroChina	PetroChina
http://www.wikidata.org/entity/Q790068	http://dbpedia.org/resource/Bank_of_China	http://dbpedia.org/resource/Bank_of_China	Bank of China
http://www.wikidata.org/entity/Q744149	http://dbpedia.org/resource/Wells_Fargo	http://dbpedia.org/resource/Wells_Fargo	Wells Fargo
http://www.wikidata.org/entity/Q287750	http://dbpedia.org/resource/Chevron	http://dbpedia.org/resource/Chevron	Chevron
http://www.wikidata.org/entity/Q156578	http://dbpedia.org/resource/Volkswagen_Group	http://dbpedia.org/resource/Volkswagen_Group	Volkswagen Group
http://www.wikidata.org/entity/Q89	http://dbpedia.org/resource/Apple	http://dbpedia.org/resource/Apple	Apple
	http://dbpedia.org/resource/Walmart	http://dbpedia.org/resource/Wal-Mart_Stores	Wal-Mart Stores
http://www.wikidata.org/entity/Q102673	http://dbpedia.org/resource/Gazprom	http://dbpedia.org/resource/Gazprom	Gazprom
http://www.wikidata.org/entity/Q152057	http://dbpedia.org/resource/BP	http://dbpedia.org/resource/BP	BP
http://www.wikidata.org/entity/Q219508	http://dbpedia.org/resource/Citigroup	http://dbpedia.org/resource/Citigroup	Citigroup
http://www.wikidata.org/entity/Q210047	http://dbpedia.org/resource/Petrobras	http://dbpedia.org/resource/Petrobras	Petrobras
http://www.wikidata.org/entity/Q20718	http://dbpedia.org/resource/Samsung_Electronics	http://dbpedia.org/resource/Samsung_Electronics	Samsung Electronics
http://www.wikidata.org/entity/Q499707	http://dbpedia.org/resource/BNP_Paribas	http://dbpedia.org/resource/BNP_Paribas	BNP Paribas
http://www.wikidata.org/entity/Q352850	http://dbpedia.org/resource/Total	http://dbpedia.org/resource/Total	Total
http://www.wikidata.org/entity/Q35476	http://dbpedia.org/resource/AT&T	http://dbpedia.org/resource/AT&T	AT&T
http://www.wikidata.org/entity/Q487292	http://dbpedia.org/resource/Allianz	http://dbpedia.org/resource/Allianz	Allianz
	http://dbpedia.org/resource/Mitsubishi_UFJ_Financial_Group	http://dbpedia.org/resource/Mitsubishi_UFJ_Financial	Mitsubishi UFJ Financial
http://www.wikidata.org/entity/Q487907	http://dbpedia.org/resource/Bank_of_America	http://dbpedia.org/resource/Bank_of_America	Bank of America
http://www.wikidata.org/entity/Q741618	http://dbpedia.org/resource/China_Mobile	http://dbpedia.org/resource/China_Mobile	China Mobile
http://www.wikidata.org/entity/Q408793	http://dbpedia.org/resource/ENI	http://dbpedia.org/resource/ENI	ENI
	http://dbpedia.org/resource/Toyota	http://dbpedia.org/resource/Toyota_Motor	Toyota Motor
http://www.wikidata.org/entity/Q160746	http://dbpedia.org/resource/Nestlé	http://dbpedia.org/resource/Nestle	Nestlé
http://www.wikidata.org/entity/Q122141	http://dbpedia.org/resource/Vodafone	http://dbpedia.org/resource/Vodafone	Vodafone
http://www.wikidata.org/entity/Q37156	http://dbpedia.org/resource/IBM	http://dbpedia.org/resource/IBM	IBM
http://www.wikidata.org/entity/Q212405	http://dbpedia.org/resource/Procter_&_Gamble	http://dbpedia.org/resource/Procter_&_Gamble	Procter & Gamble
http://www.wikidata.org/entity/Q228894	http://dbpedia.org/resource/Daimler	http://dbpedia.org/resource/Daimler	Daimler
http://www.wikidata.org/entity/Q206921	http://dbpedia.org/resource/Pfizer	http://dbpedia.org/resource/Pfizer	Pfizer
http://www.wikidata.org/entity/Q1776022	http://dbpedia.org/resource/Statoil	http://dbpedia.org/resource/Statoil	Statoil
	http://dbpedia.org/resource/AXA	http://dbpedia.org/resource/AXA_Group	AXA Group
http://www.wikidata.org/entity/Q285328	http://dbpedia.org/resource/Commonwealth_Bank	http://dbpedia.org/resource/Commonwealth_Bank	Commonwealth Bank
http://www.wikidata.org/entity/Q2283	http://dbpedia.org/resource/Microsoft	http://dbpedia.org/resource/Microsoft	Microsoft
http://www.wikidata.org/entity/Q1424293	http://dbpedia.org/resource/Itaú_Unibanco	http://dbpedia.org/resource/Itaú_Unibanco	Itaú_Unibanco
http://www.wikidata.org/entity/Q6496310	http://dbpedia.org/resource/Banco_Santander	http://dbpedia.org/resource/Banco_Santander	Banco Santander
http://www.wikidata.org/entity/Q625713	http://dbpedia.org/resource/BHP_Billiton	http://dbpedia.org/resource/BHP_Billiton	BHP Billiton
http://www.wikidata.org/entity/Q806181	http://dbpedia.org/resource/Banco_Bradesco	http://dbpedia.org/resource/Banco_Bradesco	Banco Bradesco
http://www.wikidata.org/entity/Q333718	http://dbpedia.org/resource/Johnson_&_Johnson	http://dbpedia.org/resource/Johnson_&_Johnson	Johnson & Johnson
	http://dbpedia.org/resource/Westpac	http://dbpedia.org/resource/Westpac_Banking_Group	Westpac Banking Group
	http://dbpedia.org/resource/Goldman_Sachs	http://dbpedia.org/resource/Goldman_Sachs_Group	Goldman Sachs Group
http://www.wikidata.org/entity/Q735261	http://dbpedia.org/resource/Royal_Bank_of_Canada	http://dbpedia.org/resource/Royal_Bank_of_Canada	Royal Bank of Canada
http://www.wikidata.org/entity/Q81230	http://dbpedia.org/resource/Siemens	http://dbpedia.org/resource/Siemens	Siemens
	http://dbpedia.org/resource/Ford_Motor_Company	http://dbpedia.org/resource/Ford_Motor	Ford Motor
http://www.wikidata.org/entity/Q806680	http://dbpedia.org/resource/Bank_of_Communications	http://dbpedia.org/resource/Bank_of_Communications	Bank of Communications
	http://dbpedia.org/resource/BMW	http://dbpedia.org/resource/BMW_Group	BMW Group
http://www.wikidata.org/entity/Q1113804	http://dbpedia.org/resource/Comcast	http://dbpedia.org/resource/Comcast	Comcast
http://www.wikidata.org/entity/Q507154	http://dbpedia.org/resource/Novartis	http://dbpedia.org/resource/Novartis	Novartis
http://www.wikidata.org/entity/Q1430985	http://dbpedia.org/resource/National_Australia_Bank	http://dbpedia.org/resource/National_Australia_Bank	National Australia Bank
http://www.wikidata.org/entity/Q1141123	http://dbpedia.org/resource/Rosneft	http://dbpedia.org/resource/Rosneft	Rosneft
http://www.wikidata.org/entity/Q645708	http://dbpedia.org/resource/ING_Group	http://dbpedia.org/resource/ING_Group	ING Group
	http://dbpedia.org/resource/Sberbank_of_Russia	http://dbpedia.org/resource/Sberbank	Sberbank
http://www.wikidata.org/entity/Q212235	http://dbpedia.org/resource/American_International_Group	http://dbpedia.org/resource/American_International_Group	American International Group
http://www.wikidata.org/entity/Q329347	http://dbpedia.org/resource/Lukoil	http://dbpedia.org/resource/Lukoil	Lukoil
http://www.wikidata.org/entity/Q421296	http://dbpedia.org/resource/Prudential	http://dbpedia.org/resource/Prudential	Prudential
http://www.wikidata.org/entity/Q295826	http://dbpedia.org/resource/ANZ	http://dbpedia.org/resource/ANZ	ANZ
http://www.wikidata.org/entity/Q95	http://dbpedia.org/resource/Google	http://dbpedia.org/resource/Google	Google
http://www.wikidata.org/entity/Q9401	http://dbpedia.org/resource/BASF	http://dbpedia.org/resource/BASF	BASF
http://www.wikidata.org/entity/Q81965	http://dbpedia.org/resource/General_Motors	http://dbpedia.org/resource/General_Motors	General Motors
http://www.wikidata.org/entity/Q158205	http://dbpedia.org/resource/Sanofi	http://dbpedia.org/resource/Sanofi	Sanofi
http://www.wikidata.org/entity/Q214763	http://dbpedia.org/resource/ConocoPhillips	http://dbpedia.org/resource/ConocoPhillips	ConocoPhillips
http://www.wikidata.org/entity/Q437442	http://dbpedia.org/resource/EDF	http://dbpedia.org/resource/EDF	EDF
http://www.wikidata.org/entity/Q230426	http://dbpedia.org/resource/Zurich_Insurance_Group	http://dbpedia.org/resource/Zurich_Insurance_Group	Zurich Insurance Group
http://www.wikidata.org/entity/Q128738	http://dbpedia.org/resource/Anheuser-Busch_InBev	http://dbpedia.org/resource/Anheuser-Busch_InBev	Anheuser-Busch InBev
http://www.wikidata.org/entity/Q248	http://dbpedia.org/resource/Intel	http://dbpedia.org/resource/Intel	Intel
