label	lastfm_URI	DBpedia16_URI
Diary of Dreams	http://www.last.fm/music/Diary+of+Dreams	http://dbpedia.org/resource/Diary_of_Dreams
Moonspell	http://www.last.fm/music/Moonspell	http://dbpedia.org/resource/Moonspell
DIR EN GREY	http://www.last.fm/music/DIR+EN+GREY	http://dbpedia.org/resource/Dir_En_Grey
Combichrist	http://www.last.fm/music/Combichrist	http://dbpedia.org/resource/Combichrist
Grendel	http://www.last.fm/music/Grendel	http://dbpedia.org/resource/Grendel_(band)
Agonoize	http://www.last.fm/music/Agonoize	http://dbpedia.org/resource/Agonoize
Behemoth	http://www.last.fm/music/Behemoth	http://dbpedia.org/resource/Behemoth_(band)
Hocico	http://www.last.fm/music/Hocico	http://dbpedia.org/resource/Hocico
Dimmu Borgir	http://www.last.fm/music/Dimmu+Borgir	http://dbpedia.org/resource/Dimmu_Borgir
London After Midnight	http://www.last.fm/music/London+After+Midnight	http://dbpedia.org/resource/London_After_Midnight_(band)
Psyclon Nine	http://www.last.fm/music/Psyclon+Nine	http://dbpedia.org/resource/Psyclon_Nine
The Crüxshadows	http://www.last.fm/music/The+Cr%C3%BCxshadows	
:wumpscut:	http://www.last.fm/music/%3Awumpscut%3A	http://dbpedia.org/resource/Wumpscut:
Cradle of Filth	http://www.last.fm/music/Cradle+of+Filth	http://dbpedia.org/resource/Cradle_of_Filth
Laibach	http://www.last.fm/music/Laibach	http://dbpedia.org/resource/Laibach_(band)
Gorgoroth	http://www.last.fm/music/Gorgoroth	http://dbpedia.org/resource/Gorgoroth
And One	http://www.last.fm/music/And+One	http://dbpedia.org/resource/And_One
Covenant	http://www.last.fm/music/Covenant	http://dbpedia.org/resource/Covenant_(band)
Icon of Coil	http://www.last.fm/music/Icon+of+Coil	http://dbpedia.org/resource/Icon_of_Coil
KMFDM	http://www.last.fm/music/KMFDM	http://dbpedia.org/resource/List_of_KMFDM_band_members
Funker Vogt	http://www.last.fm/music/Funker+Vogt	http://dbpedia.org/resource/Funker_Vogt
Dawn of Ashes	http://www.last.fm/music/Dawn+of+Ashes	http://dbpedia.org/resource/Dawn_of_Ashes
