label	LibraryThing_URI	DBpedia16_URI
Shadow Spinner (1998)	https://www.librarything.com/work/73960	
How I Paid for College: A Novel of Sex, Theft, Friendship & Musical… (2004)	https://www.librarything.com/work/69413	http://dbpedia.org/resource/How_I_Paid_for_College:_A_Novel_of_Sex,_Theft,_Friendship,_and_Musical_Theater
All Different Kinds of Free (2011)	https://www.librarything.com/work/11243828	
Heck: Where the Bad Kids Go	https://www.librarything.com/work/4842812	
All The Rage (2000)	https://www.librarything.com/work/32125	http://dbpedia.org/resource/All_the_Rage_(novel)
Innocents	https://www.librarything.com/work/496505	
Mommy Laid An Egg: Or, Where Do Babies Come From?	https://www.librarything.com/work/831260	
Always Looking Up	https://www.librarything.com/work/7749012	
The Eleven	https://www.librarything.com/work/8311485	
Dead Air (Sammy Greene Thrillers) (2009)	https://www.librarything.com/work/9354231	
The Surrogates, Volume 1 (2006)	https://www.librarything.com/work/2082212	
Strata (1981)	https://www.librarything.com/work/1045491	http://dbpedia.org/resource/Strata_(novel)
In Total Surrender	https://www.librarything.com/work/11134945	
Opening Up: A Guide to Creating and Sustaining Open Relationships (2008)	https://www.librarything.com/work/3986892	
La Ciguapa	https://www.librarything.com/work/10943786	
Bayou Moon	https://www.librarything.com/work/9423919	
You Only Live Twice: James Bond Secret Agent 007 (1964)	https://www.librarything.com/work/93258	http://dbpedia.org/resource/You_Only_Live_Twice_(novel)
Lover Reborn	https://www.librarything.com/work/11357432	
99 Coffins	https://www.librarything.com/work/7120905	
Rogue Squadron	https://www.librarything.com/work/12372	
The Touch of Twilight	https://www.librarything.com/work/4224078	
Whistling Past the Graveyard	https://www.librarything.com/work/13462084	
A Wedding in December (2005)	https://www.librarything.com/work/2121919	
War Trash (2005)	https://www.librarything.com/work/59057	http://dbpedia.org/resource/War_Trash
The Bone Trail	https://www.librarything.com/work/10884010	
My Fair Lazy: One Reality Television Addict's Attempt to Discover If Not…	https://www.librarything.com/work/9162703	
The Lily and the Lion (1960)	https://www.librarything.com/work/2843314	
The Ranger	https://www.librarything.com/work/11044109	
Parts (1997)	https://www.librarything.com/work/303470	
The Lost Saints of Tennessee: A Novel	https://www.librarything.com/work/11647005	
Faerie Wars	https://www.librarything.com/work/45548	
Legacy	https://www.librarything.com/work/11194563	
Zen Ties (2008)	https://www.librarything.com/work/4567887	
Chickens Aren't the Only Ones (World of Nature Series) (1981)	https://www.librarything.com/work/713393	
Saturn's Children	https://www.librarything.com/work/4065134	
Shop Till You Drop (2003)	https://www.librarything.com/work/2431186	
The Sea, the Sea (1978)	https://www.librarything.com/work/10162	http://dbpedia.org/resource/The_Sea,_the_Sea
Stop Dressing Your Six-Year-Old Like a Skank: And Other Words of Delicate… (2006)	https://www.librarything.com/work/1404542	
Enchanted Glass	https://www.librarything.com/work/8176470	
Quakeland	https://www.librarything.com/work/4958712	
Honour	https://www.librarything.com/work/12353867	
The Long Walk: The True Story of a Trek to Freedom (1956)	https://www.librarything.com/work/81029	
Cookwise: The Secrets of Cooking Revealed	https://www.librarything.com/work/2442	
A Night to Remember (1955)	https://www.librarything.com/work/106418	http://dbpedia.org/resource/A_Night_to_Remember_(book)
The Hindi-Bindi Club (2007)	https://www.librarything.com/work/2411376	
The End of East (2007)	https://www.librarything.com/work/2609742	
How to Ruin My Teenage Life	https://www.librarything.com/work/3334491	
Alexander and the Wind-Up Mouse (1969)	https://www.librarything.com/work/134338	
Night Star	https://www.librarything.com/work/9721936	
