Wikidata_URI	DBpedia15_URI	DBpedia16_URI	label
http://www.wikidata.org/entity/Q238245	http://dbpedia.org/resource/4_Months,_3_Weeks_and_2_Days	http://dbpedia.org/resource/4_Months,_3_Weeks_and_2_Days	4 Months, 3 Weeks and 2 Days
http://www.wikidata.org/entity/Q170035	http://dbpedia.org/resource/Ratatouille_(film)	http://dbpedia.org/resource/Ratatouille_(film)	Ratatouille
http://www.wikidata.org/entity/Q1752684	http://dbpedia.org/resource/Killer_of_Sheep	http://dbpedia.org/resource/Killer_of_Sheep	Killer of Sheep
http://www.wikidata.org/entity/Q675937	http://dbpedia.org/resource/Sideways	http://dbpedia.org/resource/Sideways	Sideways
http://www.wikidata.org/entity/Q739285	http://dbpedia.org/resource/Sita_Sings_the_Blues	http://dbpedia.org/resource/Sita_Sings_the_Blues	Sita Sings the Blues
http://www.wikidata.org/entity/Q183066	http://dbpedia.org/resource/The_Hurt_Locker	http://dbpedia.org/resource/The_Hurt_Locker	The Hurt Locker
http://www.wikidata.org/entity/Q320588	http://dbpedia.org/resource/Close_Encounters_of_the_Third_Kind	http://dbpedia.org/resource/Close_Encounters_of_the_Third_Kind	Close Encounters of the Third Kind
http://www.wikidata.org/entity/Q17738	http://dbpedia.org/resource/Star_Wars_(film)	http://dbpedia.org/resource/Star_Wars_(film)	Star Wars: Episode IV - A New Hope
	http://dbpedia.org/resource/Moolaadé	http://dbpedia.org/resource/Moolaadé	Moolaadé
http://www.wikidata.org/entity/Q1061541	http://dbpedia.org/resource/A_Prophet	http://dbpedia.org/resource/A_Prophet	A Prophet
http://www.wikidata.org/entity/Q652186	http://dbpedia.org/resource/Before_Sunset	http://dbpedia.org/resource/Before_Sunset	Before Sunset
http://www.wikidata.org/entity/Q348007	http://dbpedia.org/resource/Capturing_the_Friedmans	http://dbpedia.org/resource/Capturing_the_Friedmans	Capturing the Friedmans
http://www.wikidata.org/entity/Q132863	http://dbpedia.org/resource/Finding_Nemo	http://dbpedia.org/resource/Finding_Nemo	Finding Nemo
http://www.wikidata.org/entity/Q845057	http://dbpedia.org/resource/Hannah_and_Her_Sisters	http://dbpedia.org/resource/Hannah_and_Her_Sisters	Hannah and Her Sisters
