label	imdb_URI	DBpedia16_URI
Grumpier Old Men (1995)	https://www.imdb.com/title/tt0113228/	http://dbpedia.org/resource/Grumpier_Old_Men
Waiting to Exhale (1995)	https://www.imdb.com/title/tt0114885/	http://dbpedia.org/resource/Waiting_to_Exhale
Father of the Bride Part II (1995)	https://www.imdb.com/title/tt0113041/	http://dbpedia.org/resource/Father_of_the_Bride_Part_II
Sabrina (1995)	https://www.imdb.com/title/tt0114319/	http://dbpedia.org/resource/Sabrina_(1995_film)
Tom and Huck (1995)	https://www.imdb.com/title/tt0112302/	http://dbpedia.org/resource/Tom_and_Huck
Sudden Death (1995)	https://www.imdb.com/title/tt0114576/	http://dbpedia.org/resource/Sudden_Death
Dracula: Dead and Loving It (1995)	https://www.imdb.com/title/tt0112896/	http://dbpedia.org/resource/Dracula:_Dead_and_Loving_It
Balto (1995)	https://www.imdb.com/title/tt0112453/	http://dbpedia.org/resource/Balto_(film)
Nixon (1995)	https://www.imdb.com/title/tt0113987/	http://dbpedia.org/resource/Nixon_(film)
Cutthroat Island (1995)	https://www.imdb.com/title/tt0112760/	http://dbpedia.org/resource/Cutthroat_Island
Four Rooms (1995)	https://www.imdb.com/title/tt0113101/	http://dbpedia.org/resource/Four_Rooms
Money Train (1995)	https://www.imdb.com/title/tt0113845/	http://dbpedia.org/resource/Money_Train_(film)
Copycat (1995)	https://www.imdb.com/title/tt0112722/	http://dbpedia.org/resource/Copycat_(film)
Assassins (1995)	https://www.imdb.com/title/tt0112401/	http://dbpedia.org/resource/Assassins_(film)
Powder (1995)	https://www.imdb.com/title/tt0114168/	http://dbpedia.org/resource/Powder_(film)
Othello (1995)	https://www.imdb.com/title/tt0114057/	http://dbpedia.org/resource/Othello_(1995_film)
Now and Then (1995)	https://www.imdb.com/title/tt0114011/	http://dbpedia.org/resource/I_Now_Pronounce_You_Chuck_and_Larry
Persuasion (1995)	https://www.imdb.com/title/tt0114117/	http://dbpedia.org/resource/Persuasion_(1995_film)
City of Lost Children, The (Cité des enfants perdus, La) (1995)	https://www.imdb.com/title/tt0112682/	http://dbpedia.org/resource/The_City_of_Lost_Children
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)	https://www.imdb.com/title/tt0115012/	http://dbpedia.org/resource/Shanghai_Triad
Dangerous Minds (1995)	https://www.imdb.com/title/tt0112792/	http://dbpedia.org/resource/Dangerous_Minds
Wings of Courage (1995)	https://www.imdb.com/title/tt0114952/	http://dbpedia.org/resource/Wings_of_Courage
Carrington (1995)	https://www.imdb.com/title/tt0112637/	http://dbpedia.org/resource/Carrington_(film)
