DBpedia16_URI	label
http://dbpedia.org/resource/Cuba_national_basketball_team	Cuba national basketball team
http://dbpedia.org/resource/CCC_Polkowice_(basketball_team)	CCC Polkowice (basketball team)
http://dbpedia.org/resource/Spain_men's_national_basketball_team	Spain men's national basketball team
http://dbpedia.org/resource/Albania_national_basketball_team	Albania national basketball team
http://dbpedia.org/resource/Applied_Science_University_(basketball_team)	Applied Science University (basketball team)
http://dbpedia.org/resource/Tunisia_national_basketball_team	Tunisia national basketball team
http://dbpedia.org/resource/Australia_women's_national_under-19_basketball_team	Australia women's national under-19 basketball team
http://dbpedia.org/resource/Saudi_Arabia_national_basketball_team	Saudi Arabia national basketball team
http://dbpedia.org/resource/Hungary_national_basketball_team	Hungary national basketball team
http://dbpedia.org/resource/Australia_women's_national_basketball_team	Australia women's national basketball team
http://dbpedia.org/resource/Kenya_national_basketball_team	Kenya national basketball team
http://dbpedia.org/resource/Morocco_national_basketball_team	Morocco national basketball team
http://dbpedia.org/resource/Hungary_women's_national_basketball_team	Hungary women's national basketball team
http://dbpedia.org/resource/Mozambique_national_basketball_team	Mozambique national basketball team
http://dbpedia.org/resource/Colombia_national_basketball_team	Colombia national basketball team
http://dbpedia.org/resource/Mali_national_basketball_team	Mali national basketball team
http://dbpedia.org/resource/France_national_basketball_team	France national basketball team
http://dbpedia.org/resource/Jordan_national_basketball_team	Jordan national basketball team
http://dbpedia.org/resource/Italy_national_basketball_team	Italy national basketball team
http://dbpedia.org/resource/New_York_Athletic_Club_men's_basketball_team	New York Athletic Club men's basketball team
http://dbpedia.org/resource/Slovenia_national_basketball_team	Slovenia national basketball team
http://dbpedia.org/resource/1920_Texas_A&M_Aggies_football_team	1920 Texas A&M Aggies football team
http://dbpedia.org/resource/2001_Arizona_State_Sun_Devils_football_team	2001 Arizona State Sun Devils football team
http://dbpedia.org/resource/2008_Montana_Grizzlies_football_team	2008 Montana Grizzlies football team
http://dbpedia.org/resource/1911_Texas_A&M_Aggies_football_team	1911 Texas A&M Aggies football team
http://dbpedia.org/resource/1928_Princeton_Tigers_football_team	1928 Princeton Tigers football team
http://dbpedia.org/resource/1916_Harvard_Crimson_football_team	1916 Harvard Crimson football team
http://dbpedia.org/resource/Denmark_national_under-19_football_team	Denmark national under-19 football team
http://dbpedia.org/resource/Vanuatu_national_under-17_football_team	Vanuatu national under-17 football team
http://dbpedia.org/resource/1898_Oregon_Webfoots_football_team	1898 Oregon Webfoots football team
http://dbpedia.org/resource/2009_New_Mexico_State_Aggies_football_team	2009 New Mexico State Aggies football team
http://dbpedia.org/resource/2000_The_Citadel_Bulldogs_football_team	2000 The Citadel Bulldogs football team
http://dbpedia.org/resource/1934_Pittsburgh_Panthers_football_team	1934 Pittsburgh Panthers football team
http://dbpedia.org/resource/1961_Iowa_Hawkeyes_football_team	1961 Iowa Hawkeyes football team
http://dbpedia.org/resource/1941_Notre_Dame_Fighting_Irish_football_team	1941 Notre Dame Fighting Irish football team
http://dbpedia.org/resource/2010_Iowa_Hawkeyes_football_team	2010 Iowa Hawkeyes football team
http://dbpedia.org/resource/1956_LSU_Tigers_football_team	1956 LSU Tigers football team
http://dbpedia.org/resource/1942_Montana_Grizzlies_football_team	1942 Montana Grizzlies football team
http://dbpedia.org/resource/2006_New_Mexico_Lobos_football_team	2006 New Mexico Lobos football team
http://dbpedia.org/resource/2012_UCF_Knights_football_team	2012 UCF Knights football team
http://dbpedia.org/resource/Georgia_national_under-21_football_team__13_November_2015__1	Georgia national under-21 football team  13 November 2015  1
http://dbpedia.org/resource/1945_Northern_Illinois_State_Huskies_football_team	1945 Northern Illinois State Huskies football team
http://dbpedia.org/resource/2013_Memphis_Tigers_football_team	2013 Memphis Tigers football team
http://dbpedia.org/resource/1963_Northwestern_Wildcats_football_team	1963 Northwestern Wildcats football team
http://dbpedia.org/resource/1993_Michigan_State_Spartans_football_team	1993 Michigan State Spartans football team
http://dbpedia.org/resource/Myanmar_national_football_team	Myanmar national football team
http://dbpedia.org/resource/2005_Mississippi_State_Bulldogs_football_team	2005 Mississippi State Bulldogs football team
http://dbpedia.org/resource/1904_Stanford_football_team	1904 Stanford football team
http://dbpedia.org/resource/1945_Georgia_Tech_Yellow_Jackets_football_team	1945 Georgia Tech Yellow Jackets football team
